Time, Cooling Engery (kWh) Zone1, Cooling Engery (kBtu) Zone2, Cooling Engery (kBtu) Zone3, Cooling Engery (kBtu) Zone4, Cooling Engery (kBtu) Zone5, Heating Engery (kBtu) Zone1, Heating Engery (kBtu) Zone2, Heating Engery (kBtu) Zone3, Heating Engery (kBtu) Zone4, Heating Engery (kBtu) Zone5, Electric Light Engery (kBtu) Zone1, Electric Light (kBtu) Zone2, Electric Light Energy (kBtu) Zone3, Electric Light Energy (kBtu) Zone4, Electric Light Energy (kBtu) Zone5, Equipment Engery (kBtu) Zone1, Equipment Engery (kBtu) Zone2, Equipment Engery (kBtu) Zone3, Equipment Engery (kBtu) Zone4, Equipment Engery (kBtu) Zone5,
03 Jan 00:00,0,0,0,0,0,15.162783,7.734655,13.986954,7.781826,1.525658,0.148928,0.062053,0.148928,0.062053,0.074464,3.429785,1.429077,3.429785,1.429077,1.714893
03 Jan 01:00,0,0,0,0,0,15.392236,7.817555,14.343659,7.854866,1.677423,0.148928,0.062053,0.148928,0.062053,0.074464,3.124916,1.302048,3.124916,1.302048,1.562458
03 Jan 02:00,0,0,0,0,0,15.222196,7.71495,14.282273,7.748622,1.689998,0.148928,0.062053,0.148928,0.062053,0.074464,2.972481,1.238534,2.972481,1.238534,1.48624
03 Jan 03:00,0,0,0,0,0,15.420601,7.792329,14.577235,7.827524,1.776528,0.148928,0.062053,0.148928,0.062053,0.074464,2.896263,1.206776,2.896263,1.206776,1.448132
03 Jan 04:00,0,0,0,0,0,15.458432,7.810665,14.695633,7.841314,1.779526,0.446784,0.18616,0.446784,0.18616,0.223392,2.896263,1.206776,2.896263,1.206776,1.448132
03 Jan 05:00,0,0,0,0,0,15.78284,7.980783,15.082406,8.0007,1.761196,0.968032,0.403347,0.968032,0.403347,0.484016,3.277351,1.365563,3.277351,1.365563,1.638675
03 Jan 06:00,0,0,0,0,0,16.366961,8.282407,15.720474,8.290163,1.749439,1.042497,0.434374,1.042497,0.434374,0.521248,4.115742,1.714893,4.115742,1.714893,2.057871
03 Jan 07:00,0,0,0,0,0,16.63324,8.41858,16.036205,8.419653,1.724187,0.968032,0.403347,0.968032,0.403347,0.484016,4.954134,2.064223,4.954134,2.064223,2.477067
03 Jan 08:00,0,0,0,0,0,18.065411,9.002018,17.354297,9.082681,2.333305,0.446784,0.18616,0.446784,0.18616,0.223392,5.030352,2.09598,5.030352,2.09598,2.515176
03 Jan 09:00,0,0,0,0,0,18.795124,8.855621,15.896912,9.591666,2.765524,0.297856,0.124107,0.297856,0.124107,0.148928,5.106569,2.127737,5.106569,2.127737,2.553285
03 Jan 10:00,0,0,0,0,0,18.141902,8.092416,8.339452,9.59342,2.859423,0.297856,0.124107,0.297856,0.124107,0.148928,5.259004,2.191252,5.259004,2.191252,2.629502
03 Jan 11:00,0,0,0,0,0,18.03946,8.421555,11.453809,9.572883,2.848112,0.297856,0.124107,0.297856,0.124107,0.148928,5.335222,2.223009,5.335222,2.223009,2.667611
03 Jan 12:00,0,0,0,0,0,17.56041,8.405326,11.53283,9.478551,2.877899,0.297856,0.124107,0.297856,0.124107,0.148928,5.259004,2.191252,5.259004,2.191252,2.629502
03 Jan 13:00,0,0,0,0,0,17.031147,8.26427,5.766431,9.256131,2.955106,0.297856,0.124107,0.297856,0.124107,0.148928,5.030352,2.09598,5.030352,2.09598,2.515176
03 Jan 14:00,0,0,0,0,0,17.212612,8.397994,8.338647,9.157649,2.994419,0.297856,0.124107,0.297856,0.124107,0.148928,4.954134,2.064223,4.954134,2.064223,2.477067
03 Jan 15:00,0,0,0,0,0,17.927194,8.790754,8.201321,8.932357,3.058572,0.521248,0.217187,0.521248,0.217187,0.260624,5.182787,2.159495,5.182787,2.159495,2.591393
03 Jan 16:00,0,0,0,0,0,18.339938,9.047736,11.050011,9.173865,2.750556,1.042497,0.434374,1.042497,0.434374,0.521248,6.097396,2.540582,6.097396,2.540582,3.048698
03 Jan 17:00,0,0,0,0,0,17.269824,8.6522,11.598644,8.873011,1.940892,1.489281,0.620534,1.489281,0.620534,0.74464,7.621745,3.175727,7.621745,3.175727,3.810873
03 Jan 18:00,0,0,0,0,0,17.141315,8.668944,12.190258,8.878861,1.53331,2.010529,0.83772,2.010529,0.83772,1.005264,7.621745,3.175727,7.621745,3.175727,3.810873
03 Jan 19:00,0,0,0,0,0,17.804737,8.999931,13.411653,9.184749,1.591026,2.382849,0.992854,2.382849,0.992854,1.191425,7.088223,2.953426,7.088223,2.953426,3.544112
03 Jan 20:00,0,0,0,0,0,18.046198,9.129062,14.131881,9.290451,1.578796,2.382849,0.992854,2.382849,0.992854,1.191425,6.783353,2.826397,6.783353,2.826397,3.391677
03 Jan 21:00,0,0,0,0,0,18.328778,9.274724,14.84145,9.413647,1.612433,1.638209,0.682587,1.638209,0.682587,0.819104,6.478484,2.699368,6.478484,2.699368,3.239242
03 Jan 22:00,0,0,0,0,0,19.372503,9.734987,16.263623,9.852245,2.05556,0.893568,0.37232,0.893568,0.37232,0.446784,5.411439,2.254766,5.411439,2.254766,2.70572
03 Jan 23:00,0,0,0,0,0,20.383129,10.177536,17.630297,10.27365,2.51026,0.37232,0.155133,0.37232,0.155133,0.18616,4.420612,1.841922,4.420612,1.841922,2.210306
04 Jan 00:00,0,0,0,0,0,21.943907,10.875563,19.518299,10.945222,3.097957,0.148928,0.062053,0.148928,0.062053,0.074464,3.429785,1.429077,3.429785,1.429077,1.714893
04 Jan 01:00,0,0,0,0,0,22.846917,11.278794,20.708656,11.336453,3.406281,0.148928,0.062053,0.148928,0.062053,0.074464,3.124916,1.302048,3.124916,1.302048,1.562458
04 Jan 02:00,0,0,0,0,0,23.158777,11.426337,21.270367,11.479487,3.530735,0.148928,0.062053,0.148928,0.062053,0.074464,2.972481,1.238534,2.972481,1.238534,1.48624
04 Jan 03:00,0,0,0,0,0,23.395942,11.552336,21.729156,11.591491,3.617335,0.148928,0.062053,0.148928,0.062053,0.074464,2.896263,1.206776,2.896263,1.206776,1.448132
04 Jan 04:00,0,0,0,0,0,23.464977,11.599377,21.987446,11.635296,3.62014,0.446784,0.18616,0.446784,0.18616,0.223392,2.896263,1.206776,2.896263,1.206776,1.448132
04 Jan 05:00,0,0,0,0,0,23.209161,11.501276,21.872423,11.532568,3.444287,0.968032,0.403347,0.968032,0.403347,0.484016,3.277351,1.365563,3.277351,1.365563,1.638675
04 Jan 06:00,0,0,0,0,0,22.780324,11.326538,21.553333,11.353071,3.165131,1.042497,0.434374,1.042497,0.434374,0.521248,4.115742,1.714893,4.115742,1.714893,2.057871
04 Jan 07:00,0,0,0,0,0,22.651836,11.280217,21.525646,11.301947,3.031246,0.968032,0.403347,0.968032,0.403347,0.484016,4.954134,2.064223,4.954134,2.064223,2.477067
04 Jan 08:00,0,0,0,0,0,23.218493,9.39014,17.827567,11.582767,3.440727,0.446784,0.18616,0.446784,0.18616,0.223392,5.030352,2.09598,5.030352,2.09598,2.515176
04 Jan 09:00,0,0,0,0,0,22.275706,5.603108,4.402583,11.298133,3.465441,0.297856,0.124107,0.297856,0.124107,0.148928,5.106569,2.127737,5.106569,2.127737,2.553285
04 Jan 10:00,0,0,0,0,0,20.974658,5.474713,0,10.967501,3.374326,0.297856,0.124107,0.297856,0.124107,0.148928,5.259004,2.191252,5.259004,2.191252,2.629502
04 Jan 11:00,0,0,0.000801,0,0,19.437468,6.05908,0,10.524085,3.210415,0.297856,0.124107,0.297856,0.124107,0.148928,5.335222,2.223009,5.335222,2.223009,2.667611
04 Jan 12:00,0,0,0.008592,0,0,18.274367,6.245911,0,10.150056,3.12939,0.297856,0.124107,0.297856,0.124107,0.148928,5.259004,2.191252,5.259004,2.191252,2.629502
04 Jan 13:00,0,0,0.004104,0,0,17.295401,6.348395,0,9.602409,3.052364,0.297856,0.124107,0.297856,0.124107,0.148928,5.030352,2.09598,5.030352,2.09598,2.515176
04 Jan 14:00,0,0,0.000509,0,0,17.444019,6.781956,0,8.111887,3.137846,0.297856,0.124107,0.297856,0.124107,0.148928,4.954134,2.064223,4.954134,2.064223,2.477067
04 Jan 15:00,0,0,0.001269,0,0,18.154493,7.382409,0,7.443503,3.159124,0.521248,0.217187,0.521248,0.217187,0.260624,5.182787,2.159495,5.182787,2.159495,2.591393
04 Jan 16:00,0,0,0.000147,0,0,18.351049,7.723695,0,8.15131,2.742537,1.042497,0.434374,1.042497,0.434374,0.521248,6.097396,2.540582,6.097396,2.540582,3.048698
04 Jan 17:00,0,0,0.000363,0,0,18.004079,7.830112,0,8.4674,2.089646,1.489281,0.620534,1.489281,0.620534,0.74464,7.621745,3.175727,7.621745,3.175727,3.810873
04 Jan 18:00,0,0,0.000182,0,0,17.747953,7.914821,0,8.508046,1.63853,2.010529,0.83772,2.010529,0.83772,1.005264,7.621745,3.175727,7.621745,3.175727,3.810873
04 Jan 19:00,0,0,0,0,0,18.633764,8.465135,0,8.984948,1.74227,2.382849,0.992854,2.382849,0.992854,1.191425,7.088223,2.953426,7.088223,2.953426,3.544112
04 Jan 20:00,0,0,0,0,0,19.362785,8.927315,0,9.372436,1.841905,2.382849,0.992854,2.382849,0.992854,1.191425,6.783353,2.826397,6.783353,2.826397,3.391677
04 Jan 21:00,0,0,0,0,0,19.680988,9.185514,0,9.564354,1.875981,1.638209,0.682587,1.638209,0.682587,0.819104,6.478484,2.699368,6.478484,2.699368,3.239242
04 Jan 22:00,0,0,0,0,0,21.404354,10.058498,0,10.372438,2.475182,0.893568,0.37232,0.893568,0.37232,0.446784,5.411439,2.254766,5.411439,2.254766,2.70572
